0 0.000000 0.000000
8 0.000000 0.111111
1 0.111111 0.000000
9 0.111111 0.111111
2 0.222222 0.000000
16 0.000000 0.222222
17 0.111111 0.222222
10 0.222222 0.111111
18 0.222222 0.222222
24 0.000000 0.333333
3 0.333333 0.000000
25 0.111111 0.333333
11 0.333333 0.111111
19 0.333333 0.222222
26 0.222222 0.333333
4 0.444444 0.000000
32 0.000000 0.444444
33 0.111111 0.444444
12 0.444444 0.111111
27 0.333333 0.333333
20 0.444444 0.222222
34 0.222222 0.444444
28 0.444444 0.333333
40 0.000000 0.555556
35 0.333333 0.444444
5 0.555556 0.000000
41 0.111111 0.555556
13 0.555556 0.111111
42 0.222222 0.555556
21 0.555556 0.222222
36 0.444444 0.444444
29 0.555556 0.333333
43 0.333333 0.555556
48 0.000000 0.666667
6 0.666667 0.000000
14 0.666667 0.111111
49 0.111111 0.666667
50 0.222222 0.666667
22 0.666667 0.222222
44 0.444444 0.555556
37 0.555556 0.444444
51 0.333333 0.666667
30 0.666667 0.333333
56 0.000000 0.777778
7 0.777778 0.000000
15 0.777778 0.111111
57 0.111111 0.777778
45 0.555556 0.555556
52 0.444444 0.666667
38 0.666667 0.444444
58 0.222222 0.777778
23 0.777778 0.222222
31 0.777778 0.333333
59 0.333333 0.777778
53 0.555556 0.666667
46 0.666667 0.555556
60 0.444444 0.777778
39 0.777778 0.444444
54 0.666667 0.666667
61 0.555556 0.777778
47 0.777778 0.555556
62 0.666667 0.777778
55 0.777778 0.666667
63 0.777778 0.777778
64 4.000000 0.000000
